education,hours-per-week,sex,age,race,workclass,Major_Group
Some-college,40,Male,52,White,Federal-gov,Business
Less than HS,56,Male,56,White,Private,Other
Some-college,48,Male,26,White,Self-emp-inc,Business
HS-grad,40,Female,19,White,Private,Other
Bachelors,40,Female,25,Asian-Pac-Islander,Self-emp-inc,Business
HS-grad,30,Female,25,White,Private,Other
HS-grad,45,Male,21,White,Private,Other
Less than HS,40,Male,48,White,Self-emp-not-inc,Other
Masters,60,Male,33,White,State-gov,Health
HS-grad,40,Male,31,Other,State-gov,Other
HS-grad,65,Male,26,White,Self-emp-not-inc,Other
Bachelors,38,Male,37,White,State-gov,Health
Some-college,20,Male,20,White,Private,Other
HS-grad,20,Female,49,White,Private,Other
Masters,40,Male,49,White,Private,Other
Some-college,40,Female,51,White,Private,Health
Some-college,40,Male,40,White,Private,Business
Assoc-voc,40,Female,24,White,Private,Industrial Arts & Consumer Services
Less than HS,24,Male,18,White,Private,Other
Less than HS,40,Male,41,Black,Private,Other
HS-grad,40,Male,46,White,Private,Other
HS-grad,40,Female,46,White,Private,Other
Less than HS,40,Male,64,White,Private,Other
Prof-school,40,Male,50,White,Self-emp-not-inc,Law & Public Policy
Masters,36,Male,53,White,State-gov,Health
HS-grad,40,Male,21,White,Private,Other
Some-college,25,Male,22,White,State-gov,Other
Bachelors,45,Female,37,White,Private,Business
Prof-school,55,Male,39,White,Federal-gov,Law & Public Policy
Bachelors,40,Male,30,Asian-Pac-Islander,Private,Business
Bachelors,40,Male,25,White,Private,Health
Some-college,40,Female,26,Black,Private,Business
Bachelors,50,Male,43,White,Private,Business
HS-grad,60,Female,59,White,Private,Other
HS-grad,40,Female,27,White,Private,Other
Less than HS,40,Male,55,Black,Private,Other
Some-college,12,Male,20,White,Private,Other
Assoc-voc,36,Female,25,White,Private,Industrial Arts & Consumer Services
Assoc-acdm,40,Male,28,White,Private,Industrial Arts & Consumer Services
Bachelors,50,Male,29,White,Private,Business
Less than HS,40,Male,60,White,Private,Other
Bachelors,50,Female,37,White,Local-gov,Health
Less than HS,40,Female,25,White,Private,Other
Some-college,60,Male,27,White,Private,Engineering
Bachelors,40,Male,50,White,State-gov,Business
Some-college,70,Male,41,White,Self-emp-not-inc,Other
Less than HS,47,Male,46,White,Private,Other
Assoc-voc,40,Female,35,Black,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,40,Black,Private,Other
Bachelors,40,Male,49,White,Private,Business
Bachelors,50,Female,29,White,Private,Health
Bachelors,40,Female,43,White,Local-gov,Health
Assoc-acdm,60,Male,39,Black,Private,Industrial Arts & Consumer Services
HS-grad,60,Male,35,White,Private,Other
Some-college,40,Male,52,White,Private,Other
Some-college,40,Male,25,Black,Private,Other
HS-grad,30,Female,20,White,Self-emp-inc,Other
Bachelors,40,Male,24,White,Private,Business
Bachelors,30,Male,29,Asian-Pac-Islander,Private,Engineering
Some-college,40,Male,21,White,Private,Other
Bachelors,50,Female,37,White,Federal-gov,Business
HS-grad,40,Male,43,White,Federal-gov,Other
HS-grad,26,Female,19,White,Private,Other
HS-grad,45,Male,47,White,Private,Other
HS-grad,45,Male,61,White,Private,Other
HS-grad,60,Male,35,White,Private,Other
Less than HS,40,Male,60,Black,Private,Other
Some-college,40,Female,27,White,Private,Business
Bachelors,35,Male,57,Asian-Pac-Islander,Local-gov,Health
Less than HS,40,Male,56,White,Private,Other
HS-grad,40,Female,27,White,Private,Other
Less than HS,35,Female,47,Black,Private,Other
HS-grad,30,Male,19,White,Private,Other
Less than HS,30,Female,28,White,Self-emp-not-inc,Other
Less than HS,40,Male,43,White,Private,Other
Some-college,35,Female,63,White,Local-gov,Business
HS-grad,40,Female,25,Asian-Pac-Islander,Private,Other
HS-grad,40,Male,35,White,Self-emp-not-inc,Other
HS-grad,40,Female,20,White,Private,Other
Less than HS,70,Male,48,White,Private,Other
Bachelors,40,Female,30,Black,Local-gov,Health
Bachelors,40,Male,31,White,Private,Health
HS-grad,24,Female,20,Asian-Pac-Islander,Private,Other
Masters,50,Male,57,White,State-gov,Health
Assoc-voc,44,Female,41,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Female,33,White,Private,Other
Assoc-voc,40,Male,27,White,Private,Industrial Arts & Consumer Services
HS-grad,60,Male,34,White,Private,Other
Less than HS,30,Male,22,White,Private,Other
Assoc-acdm,40,Female,50,Black,Private,Industrial Arts & Consumer Services
Bachelors,45,Male,40,White,Self-emp-not-inc,Health
HS-grad,51,Male,37,White,Private,Other
Masters,55,Male,53,White,Private,Other
Some-college,40,Male,38,White,Self-emp-not-inc,Other
HS-grad,40,Male,25,White,State-gov,Other
HS-grad,40,Male,51,Black,Private,Other
Some-college,16,Male,18,White,Private,Other
Less than HS,40,Male,41,White,Private,Other
HS-grad,40,Female,33,White,Private,Other
Bachelors,40,Female,33,White,Private,Business
Some-college,40,Male,67,White,State-gov,Other
HS-grad,50,Male,47,White,Self-emp-not-inc,Other
Some-college,40,Male,24,White,Private,Other
Less than HS,40,Male,32,White,Local-gov,Other
HS-grad,40,Female,29,White,Private,Other
Assoc-voc,45,Male,25,White,Private,Industrial Arts & Consumer Services
Some-college,40,Female,33,White,Private,Business
Bachelors,40,Male,55,White,Private,Engineering
Some-college,40,Male,31,White,Private,Business
Masters,50,Male,32,White,Local-gov,Health
HS-grad,3,Male,18,White,Private,Other
HS-grad,50,Female,36,White,Private,Other
HS-grad,27,Female,58,White,Private,Other
Masters,50,Male,34,White,Private,Other
Less than HS,40,Male,19,White,Private,Other
HS-grad,40,Female,21,Black,Private,Other
HS-grad,50,Male,36,White,Self-emp-inc,Other
Bachelors,40,Female,37,Black,Private,Health
HS-grad,21,Female,43,Black,Private,Other
Bachelors,40,Male,52,White,State-gov,Business
Some-college,38,Female,43,White,Private,Health
HS-grad,40,Male,22,White,Private,Other
Less than HS,40,Male,57,White,Private,Other
Assoc-acdm,40,Female,37,White,Private,Industrial Arts & Consumer Services
Some-college,38,Female,39,Asian-Pac-Islander,Private,Business
Some-college,40,Male,54,White,Private,Business
Assoc-acdm,40,Male,27,White,Private,Industrial Arts & Consumer Services
HS-grad,35,Female,21,White,Private,Other
Some-college,38,Female,65,White,Private,Business
Some-college,40,Female,30,White,Private,Other
Less than HS,40,Female,22,White,Private,Other
Bachelors,50,Male,26,White,Private,Business
Less than HS,40,Male,25,White,Private,Other
Assoc-voc,50,Male,47,White,Private,Industrial Arts & Consumer Services
Assoc-acdm,60,Male,23,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,42,Black,Private,Other
Some-college,30,Male,39,Asian-Pac-Islander,Self-emp-not-inc,Engineering
Doctorate,60,Male,55,White,Private,Other
Masters,10,Female,24,Asian-Pac-Islander,State-gov,Health
HS-grad,40,Male,53,White,Private,Other
Less than HS,60,Female,44,Black,Private,Other
HS-grad,40,Female,40,Black,Private,Other
Some-college,40,Male,48,White,Private,Engineering
Assoc-voc,35,Female,26,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Female,22,White,Private,Other
HS-grad,40,Female,43,White,Private,Other
HS-grad,25,Female,37,White,Local-gov,Other
HS-grad,40,Male,30,Asian-Pac-Islander,Private,Other
HS-grad,50,Male,41,Amer-Indian-Eskimo,Private,Other
Prof-school,60,Male,38,White,Private,Law & Public Policy
HS-grad,50,Male,42,White,Self-emp-not-inc,Other
HS-grad,40,Male,20,Black,Private,Other
Bachelors,40,Female,36,White,Private,Business
Assoc-voc,40,Male,32,Asian-Pac-Islander,Federal-gov,Industrial Arts & Consumer Services
Bachelors,40,Male,27,White,Private,Business
Some-college,45,Male,25,White,State-gov,Business
Masters,40,Male,40,White,Private,Other
Bachelors,45,Male,49,White,Private,Business
Less than HS,16,Female,17,White,Private,Other
HS-grad,40,Female,29,White,Private,Other
Prof-school,55,Male,47,Asian-Pac-Islander,Private,Law & Public Policy
Some-college,45,Male,24,White,Self-emp-not-inc,Other
HS-grad,40,Male,29,White,Private,Other
Some-college,24,Female,45,White,Private,Business
Less than HS,50,Male,30,White,Private,Other
Some-college,20,Male,19,White,Private,Business
Less than HS,40,Male,59,White,Private,Other
Less than HS,30,Female,47,White,Private,Other
Some-college,40,Male,41,Black,Private,Engineering
Assoc-acdm,40,Male,28,White,Private,Industrial Arts & Consumer Services
Assoc-acdm,40,Male,46,White,Private,Industrial Arts & Consumer Services
Some-college,60,Male,40,White,Self-emp-not-inc,Engineering
Less than HS,40,Female,66,Black,State-gov,Other
Some-college,12,Male,44,White,Self-emp-not-inc,Engineering
HS-grad,60,Male,58,White,Self-emp-not-inc,Other
Less than HS,48,Male,21,White,Private,Other
Less than HS,40,Female,59,Black,Private,Other
Some-college,40,Male,35,White,Local-gov,Other
Less than HS,40,Male,45,Black,Private,Other
HS-grad,40,Male,30,White,Private,Other
HS-grad,40,Male,33,Black,Private,Other
Some-college,15,Female,26,White,Private,Business
Some-college,35,Female,48,Black,Private,Business
HS-grad,40,Female,31,Asian-Pac-Islander,Private,Other
HS-grad,45,Male,36,White,Private,Other
HS-grad,38,Female,48,White,Private,Other
HS-grad,40,Male,30,White,Private,Other
HS-grad,50,Male,33,White,Private,Other
Bachelors,45,Male,53,White,Private,Business
Some-college,50,Male,38,White,Private,Other
Some-college,50,Male,34,White,Private,Other
Bachelors,52,Male,45,White,Private,Business
Assoc-voc,60,Male,33,White,Local-gov,Industrial Arts & Consumer Services
Assoc-voc,44,Female,35,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,22,Black,Private,Other
HS-grad,30,Female,35,White,Private,Other
HS-grad,8,Male,45,Amer-Indian-Eskimo,Private,Other
Less than HS,45,Male,17,White,Private,Other
HS-grad,45,Male,50,White,Private,Other
Bachelors,50,Male,38,White,Local-gov,Health
Some-college,50,Male,33,White,Private,Engineering
Bachelors,50,Female,25,White,Private,Business
HS-grad,40,Male,64,White,Private,Other
Some-college,10,Male,62,White,Self-emp-not-inc,Business
HS-grad,60,Male,32,White,Private,Other
Less than HS,20,Male,17,White,Private,Other
HS-grad,55,Male,61,White,Private,Other
Doctorate,40,Female,40,Black,State-gov,Other
HS-grad,40,Female,21,White,Private,Other
Bachelors,50,Male,39,White,Private,Business
Some-college,45,Male,35,White,Self-emp-not-inc,Business
Assoc-voc,40,Male,29,White,Private,Industrial Arts & Consumer Services
Assoc-acdm,40,Male,27,Black,Federal-gov,Industrial Arts & Consumer Services
Assoc-acdm,40,Female,20,White,Private,Industrial Arts & Consumer Services
Masters,40,Male,51,White,Local-gov,Health
HS-grad,15,Female,45,Black,Private,Other
Some-college,40,Male,31,White,Private,Engineering
HS-grad,40,Male,29,Black,Private,Other
Bachelors,30,Male,56,White,Private,Business
Some-college,12,Female,55,White,Self-emp-not-inc,Engineering
Some-college,20,Male,26,White,Private,Engineering
Some-college,45,Male,46,White,Private,Engineering
HS-grad,40,Male,32,White,Local-gov,Other
HS-grad,40,Male,28,White,Private,Other
Less than HS,35,Male,27,White,Private,Other
Less than HS,40,Male,23,White,Private,Other
Less than HS,40,Male,59,White,Private,Other
Less than HS,48,Male,26,Other,Private,Other
Less than HS,40,Male,36,White,Private,Other
HS-grad,15,Female,18,White,Private,Other
Less than HS,70,Male,33,White,Private,Other
Assoc-voc,15,Female,60,White,Self-emp-not-inc,Industrial Arts & Consumer Services
HS-grad,48,Female,40,White,Private,Other
HS-grad,43,Male,48,White,Private,Other
Less than HS,48,Male,27,White,Self-emp-not-inc,Other
Some-college,20,Male,19,White,Private,Other
Bachelors,50,Male,38,White,Private,Health
Some-college,43,Male,26,White,Private,Engineering
Assoc-voc,40,Male,45,White,Federal-gov,Industrial Arts & Consumer Services
Some-college,20,Female,20,White,Private,Business
HS-grad,40,Male,32,White,Federal-gov,Other
Some-college,13,Female,22,White,Private,Other
HS-grad,40,Male,22,White,Private,Other
HS-grad,38,Female,38,Black,State-gov,Other
HS-grad,50,Male,34,White,Private,Other
Less than HS,30,Female,46,Other,Private,Other
Bachelors,25,Female,39,White,Private,Business
HS-grad,24,Female,79,White,Self-emp-not-inc,Other
HS-grad,40,Male,24,White,Private,Other
Some-college,65,Male,31,White,Private,Engineering
Bachelors,77,Male,37,Asian-Pac-Islander,Self-emp-not-inc,Business
HS-grad,40,Male,23,White,Private,Other
Some-college,45,Male,31,White,Private,Other
Bachelors,40,Male,29,White,Private,Health
Bachelors,43,Female,22,White,State-gov,Health
HS-grad,38,Female,55,White,Local-gov,Other
HS-grad,40,Male,43,White,Private,Other
Less than HS,36,Male,23,Other,Private,Other
HS-grad,35,Male,29,White,Private,Other
Assoc-voc,40,Female,22,White,Private,Industrial Arts & Consumer Services
Some-college,42,Male,22,White,Private,Business
HS-grad,84,Male,25,White,Private,Other
Some-college,45,Male,29,White,Private,Other
Some-college,40,Male,25,Black,State-gov,Other
HS-grad,40,Female,33,White,Federal-gov,Other
Bachelors,40,Male,33,White,Private,Health
Doctorate,28,Female,31,White,Private,Other
Masters,45,Male,30,White,Local-gov,Health
Bachelors,40,Male,55,White,Private,Business
Less than HS,50,Male,36,White,Private,Other
Bachelors,40,Male,28,White,Private,Business
Masters,40,Male,42,White,Private,Health
Assoc-acdm,55,Male,51,White,Private,Industrial Arts & Consumer Services
Bachelors,40,Female,62,Black,Local-gov,Health
Some-college,35,Male,65,White,Self-emp-inc,Business
Bachelors,40,Male,23,White,Private,Health
Less than HS,60,Male,47,Black,Private,Other
HS-grad,40,Female,50,White,Self-emp-inc,Other
Bachelors,40,Male,32,White,Self-emp-not-inc,Engineering
Some-college,40,Male,37,White,Federal-gov,Other
HS-grad,40,Male,31,White,Private,Other
Less than HS,12,Female,76,Black,Private,Other
Bachelors,60,Female,54,Black,Private,Business
Bachelors,40,Male,32,White,Federal-gov,Health
Some-college,52,Female,31,White,Private,Business
Bachelors,50,Male,31,White,Federal-gov,Business
Prof-school,40,Male,65,White,Self-emp-not-inc,Law & Public Policy
HS-grad,60,Male,30,White,Private,Other
Some-college,10,Female,21,White,Private,Health
Masters,40,Male,40,Asian-Pac-Islander,Federal-gov,Other
Some-college,40,Female,26,White,State-gov,Engineering
Less than HS,8,Female,18,White,Private,Other
HS-grad,50,Male,34,White,Local-gov,Other
Some-college,60,Male,44,White,Self-emp-not-inc,Other
Assoc-acdm,40,Female,30,White,Private,Industrial Arts & Consumer Services
Bachelors,40,Male,36,White,Self-emp-not-inc,Engineering
Some-college,50,Male,31,White,Private,Health
Some-college,20,Male,22,White,Private,Business
HS-grad,40,Male,23,Asian-Pac-Islander,Private,Other
Masters,50,Male,49,White,Private,Other
Bachelors,35,Male,39,White,Self-emp-not-inc,Engineering
Some-college,16,Male,19,White,Private,Other
Assoc-acdm,50,Male,30,White,Private,Industrial Arts & Consumer Services
Some-college,40,Female,25,Asian-Pac-Islander,Private,Engineering
HS-grad,40,Male,46,White,Private,Other
Masters,45,Male,37,White,Private,Health
HS-grad,40,Male,41,White,Federal-gov,Other
Some-college,20,Male,40,White,Self-emp-not-inc,Health
HS-grad,40,Female,44,White,Private,Other
HS-grad,40,Male,32,White,Private,Other
HS-grad,20,Male,58,Black,Private,Other
HS-grad,48,Male,48,White,Private,Other
Bachelors,40,Male,34,White,Private,Business
Assoc-voc,40,Female,29,Black,Private,Industrial Arts & Consumer Services
Bachelors,50,Male,46,White,Self-emp-inc,Business
HS-grad,40,Male,36,Asian-Pac-Islander,Local-gov,Other
Bachelors,38,Male,59,White,Local-gov,Business
Less than HS,40,Male,29,White,Private,Other
HS-grad,40,Male,25,White,Private,Other
Assoc-acdm,35,Female,27,Asian-Pac-Islander,Private,Industrial Arts & Consumer Services
HS-grad,70,Male,48,White,Private,Other
Doctorate,70,Female,51,White,Federal-gov,Other
HS-grad,45,Male,36,White,Private,Other
Less than HS,50,Male,42,White,Local-gov,Other
Bachelors,40,Male,49,White,State-gov,Business
Some-college,20,Male,33,White,Private,Engineering
Bachelors,60,Male,40,White,Private,Business
Bachelors,40,Female,26,White,Private,Health
HS-grad,30,Male,59,White,Private,Other
HS-grad,40,Female,30,White,Private,Other
Assoc-acdm,35,Female,31,White,Local-gov,Industrial Arts & Consumer Services
Bachelors,50,Male,30,White,Private,Business
Bachelors,40,Female,27,White,Private,Business
Assoc-acdm,40,Female,56,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,24,White,Private,Other
Bachelors,50,Female,47,White,Private,Business
Bachelors,35,Male,51,Black,Private,Health
HS-grad,45,Male,34,White,Private,Other
HS-grad,9,Male,47,Black,Private,Other
Some-college,44,Male,47,White,Private,Business
Some-college,40,Female,20,Asian-Pac-Islander,Private,Business
Less than HS,40,Female,31,White,Private,Other
Assoc-voc,32,Female,42,White,Private,Industrial Arts & Consumer Services
Less than HS,40,Male,52,White,Private,Other
HS-grad,40,Female,56,White,Private,Other
HS-grad,40,Male,53,White,Private,Other
Some-college,50,Male,26,White,Private,Business
Some-college,20,Female,81,White,Private,Business
Some-college,48,Male,57,White,Federal-gov,Health
HS-grad,40,Female,34,White,Private,Other
Assoc-voc,40,Female,24,Black,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,20,White,Private,Other
Some-college,40,Female,68,Black,Federal-gov,Business
HS-grad,32,Female,60,White,Private,Other
Some-college,40,Male,37,White,Federal-gov,Engineering
Less than HS,40,Male,25,White,Private,Other
HS-grad,40,Male,36,White,Federal-gov,Other
Assoc-acdm,40,Male,45,White,Private,Industrial Arts & Consumer Services
Some-college,60,Male,34,White,Private,Business
Bachelors,70,Female,31,White,Private,Business
Bachelors,60,Male,47,White,Self-emp-not-inc,Other
HS-grad,42,Male,60,White,Self-emp-not-inc,Other
Bachelors,24,Male,75,White,Private,Business
Some-college,40,Male,43,White,Local-gov,Business
HS-grad,40,Male,18,White,Private,Other
Bachelors,40,Female,25,Asian-Pac-Islander,Private,Engineering
HS-grad,40,Female,20,White,Private,Other
HS-grad,50,Female,32,White,Private,Other
Bachelors,20,Male,57,White,Self-emp-inc,Business
Some-college,60,Male,43,White,Private,Other
HS-grad,40,Male,18,White,Self-emp-not-inc,Other
Bachelors,40,Female,41,Black,Local-gov,Health
HS-grad,40,Male,48,White,Private,Other
HS-grad,90,Male,35,White,Private,Other
Assoc-voc,40,Male,41,White,State-gov,Industrial Arts & Consumer Services
HS-grad,20,Female,23,Black,Private,Other
Bachelors,45,Male,32,White,State-gov,Business
HS-grad,40,Male,33,White,Private,Other
HS-grad,40,Male,58,White,Private,Other
Some-college,65,Male,22,White,Private,Business
Some-college,50,Female,33,White,Private,Other
Prof-school,38,Male,42,White,Self-emp-not-inc,Law & Public Policy
HS-grad,40,Female,25,White,Private,Other
HS-grad,50,Male,39,White,Private,Other
Bachelors,45,Male,35,White,Private,Business
Some-college,38,Female,50,White,Private,Business
Masters,50,Male,49,White,Local-gov,Other
Bachelors,40,Male,25,White,Local-gov,Health
Some-college,40,Female,47,Black,Federal-gov,Business
Some-college,40,Female,46,White,Private,Business
Assoc-acdm,40,Male,42,Black,State-gov,Industrial Arts & Consumer Services
Less than HS,60,Male,37,White,Private,Other
Bachelors,40,Male,25,White,Private,Engineering
Less than HS,40,Male,29,White,Private,Other
Some-college,45,Male,26,White,Private,Business
Bachelors,40,Male,45,White,Self-emp-inc,Business
HS-grad,30,Female,34,White,Private,Other
Assoc-acdm,40,Female,33,Black,Federal-gov,Industrial Arts & Consumer Services
Bachelors,40,Male,43,White,Private,Business
HS-grad,45,Male,28,White,Private,Other
Some-college,75,Male,51,White,Self-emp-not-inc,Other
Some-college,35,Female,21,White,Private,Other
Assoc-acdm,35,Female,23,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Female,30,White,Private,Other
Masters,45,Male,46,White,Private,Other
HS-grad,50,Male,38,White,Self-emp-inc,Other
HS-grad,40,Male,20,White,Private,Other
Bachelors,50,Male,36,White,Private,Health
Prof-school,50,Male,37,White,Self-emp-not-inc,Law & Public Policy
Masters,42,Male,44,White,Local-gov,Health
HS-grad,40,Male,33,White,Private,Other
Bachelors,40,Male,45,White,Local-gov,Business
Some-college,40,Male,47,White,Private,Engineering
HS-grad,40,Male,54,Asian-Pac-Islander,Private,Other
Less than HS,30,Male,17,White,Private,Other
HS-grad,36,Female,43,White,Private,Other
Bachelors,50,Female,45,White,Private,Health
Some-college,40,Female,37,White,Private,Business
Assoc-voc,40,Male,44,White,Local-gov,Industrial Arts & Consumer Services
Masters,50,Female,55,White,Local-gov,Health
HS-grad,48,Male,41,White,Private,Other
Bachelors,40,Female,23,White,Private,Business
Some-college,40,Female,38,Black,Private,Business
Bachelors,40,Female,23,White,Private,Other
HS-grad,40,Male,35,White,Private,Other
Less than HS,20,Male,18,White,Private,Other
Assoc-voc,40,Male,47,White,Private,Industrial Arts & Consumer Services
Some-college,8,Female,25,White,Private,Health
HS-grad,50,Male,41,White,Self-emp-not-inc,Other
Some-college,24,Female,23,Asian-Pac-Islander,Private,Business
HS-grad,40,Female,41,White,Private,Other
Some-college,50,Male,26,White,Private,Business
Some-college,40,Male,30,White,Local-gov,Business
Some-college,40,Male,42,White,Private,Business
HS-grad,40,Female,35,White,Private,Other
Some-college,40,Female,29,White,Private,Engineering
Some-college,15,Female,21,White,Private,Business
Masters,40,Male,48,White,State-gov,Health
HS-grad,60,Male,44,White,Self-emp-not-inc,Other
Less than HS,40,Male,34,White,Local-gov,Other
HS-grad,25,Female,19,White,Private,Other
Some-college,40,Male,32,White,Private,Engineering
Assoc-acdm,40,Female,31,Black,State-gov,Industrial Arts & Consumer Services
HS-grad,40,Male,25,White,Private,Other
HS-grad,40,Male,47,Black,Federal-gov,Other
Less than HS,40,Female,46,White,Federal-gov,Other
Less than HS,40,Male,18,White,Private,Other
Some-college,20,Female,31,White,Private,Business
HS-grad,40,Female,28,White,State-gov,Other
HS-grad,48,Male,38,White,Private,Other
HS-grad,40,Male,33,White,Self-emp-inc,Other
Assoc-voc,40,Male,41,White,Private,Industrial Arts & Consumer Services
Some-college,40,Male,46,White,Private,Business
Some-college,44,Male,38,White,Local-gov,Health
Bachelors,60,Male,24,White,Private,Business
HS-grad,40,Male,49,White,Private,Other
Some-college,40,Female,60,Amer-Indian-Eskimo,Federal-gov,Health
Bachelors,60,Male,44,White,Private,Business
Assoc-voc,40,Male,63,White,Self-emp-inc,Industrial Arts & Consumer Services
HS-grad,60,Male,40,White,Private,Other
Some-college,50,Male,45,White,Self-emp-inc,Business
Some-college,50,Male,49,White,Private,Business
HS-grad,40,Female,36,White,Private,Other
HS-grad,8,Male,65,White,Local-gov,Other
Bachelors,20,Male,41,White,Private,Business
Masters,40,Female,25,White,Private,Other
Assoc-voc,40,Male,60,White,Private,Industrial Arts & Consumer Services
Less than HS,20,Female,17,White,Local-gov,Other
Assoc-acdm,16,Female,28,White,Private,Industrial Arts & Consumer Services
Assoc-acdm,50,Male,31,Other,Private,Industrial Arts & Consumer Services
Masters,35,Female,47,White,Private,Health
Some-college,45,Male,45,White,Self-emp-not-inc,Other
Bachelors,40,Male,51,White,Private,Health
HS-grad,40,Male,23,Black,Private,Other
Masters,60,Female,44,White,Self-emp-not-inc,Other
HS-grad,50,Male,34,White,Private,Other
Some-college,10,Male,19,White,Private,Health
HS-grad,40,Male,46,White,State-gov,Other
Doctorate,40,Male,30,Asian-Pac-Islander,Private,Other
Less than HS,35,Male,37,White,Private,Other
Prof-school,45,Male,56,White,Private,Law & Public Policy
HS-grad,45,Male,29,White,Private,Other
Masters,50,Male,46,White,Self-emp-not-inc,Other
HS-grad,40,Male,55,White,Private,Other
Bachelors,48,Male,45,White,Private,Business
HS-grad,40,Male,34,White,Private,Other
Bachelors,40,Male,41,White,Private,Business
Prof-school,50,Male,34,White,Private,Law & Public Policy
HS-grad,40,Male,27,Black,Private,Other
Some-college,37,Male,29,Black,Private,Other
Less than HS,30,Female,19,White,Federal-gov,Other
Bachelors,40,Male,47,White,Local-gov,Health
Some-college,50,Male,43,White,Self-emp-inc,Business
Assoc-voc,60,Female,52,Black,Private,Industrial Arts & Consumer Services
Assoc-acdm,60,Male,33,White,Self-emp-not-inc,Industrial Arts & Consumer Services
Less than HS,40,Male,29,White,Private,Other
HS-grad,40,Male,23,White,Private,Other
Some-college,40,Male,23,White,Private,Business
Bachelors,60,Male,39,White,Private,Business
Less than HS,40,Female,43,White,Private,Other
HS-grad,40,Male,31,White,Private,Other
HS-grad,40,Male,47,White,Self-emp-inc,Other
HS-grad,60,Male,26,White,Private,Other
Some-college,55,Female,58,White,Local-gov,Health
Prof-school,50,Male,47,White,Self-emp-inc,Law & Public Policy
Bachelors,38,Female,55,White,Private,Engineering
HS-grad,40,Female,26,White,Private,Other
HS-grad,40,Female,28,White,Private,Other
HS-grad,40,Male,36,Black,Private,Other
HS-grad,50,Male,40,White,Private,Other
Less than HS,40,Male,19,White,Private,Other
Bachelors,40,Male,63,White,Self-emp-not-inc,Business
Bachelors,40,Male,42,White,Private,Other
Less than HS,13,Male,76,White,Private,Other
Assoc-voc,40,Female,23,White,State-gov,Industrial Arts & Consumer Services
Less than HS,40,Male,38,White,Self-emp-not-inc,Other
Masters,30,Male,33,Asian-Pac-Islander,State-gov,Health
Masters,40,Male,48,White,Local-gov,Health
Some-college,40,Male,56,White,Private,Other
HS-grad,40,Male,32,Black,Private,Other
Some-college,25,Female,44,White,Local-gov,Health
HS-grad,40,Female,27,Black,Private,Other
Some-college,50,Male,33,White,Federal-gov,Business
Less than HS,40,Male,22,White,Private,Other
HS-grad,40,Male,44,White,Private,Other
HS-grad,60,Male,42,Amer-Indian-Eskimo,Private,Other
Some-college,40,Female,34,White,Private,Business
HS-grad,40,Male,45,White,Federal-gov,Other
HS-grad,40,Male,57,White,Self-emp-inc,Other
Bachelors,40,Male,59,White,Local-gov,Health
Some-college,40,Female,33,Black,Federal-gov,Business
HS-grad,49,Male,52,Other,Private,Other
Less than HS,15,Female,17,White,Private,Other
HS-grad,30,Male,29,White,Private,Other
Bachelors,30,Male,63,White,Self-emp-not-inc,Business
Some-college,24,Male,20,White,Private,Other
Prof-school,50,Male,42,White,Self-emp-inc,Law & Public Policy
HS-grad,50,Male,50,White,Self-emp-not-inc,Other
HS-grad,30,Female,55,White,Private,Other
Assoc-acdm,25,Female,27,Black,Private,Industrial Arts & Consumer Services
Bachelors,45,Male,28,White,Private,Business
Assoc-voc,45,Male,55,White,Private,Industrial Arts & Consumer Services
Some-college,40,Male,44,White,Federal-gov,Engineering
Some-college,40,Female,53,White,State-gov,Business
HS-grad,40,Male,23,White,Private,Other
HS-grad,40,Female,25,White,Private,Other
Bachelors,40,Female,44,White,State-gov,Health
Masters,40,Male,55,White,Private,Other
Some-college,35,Male,48,White,Self-emp-not-inc,Health
HS-grad,40,Male,46,White,Private,Other
Some-college,40,Male,26,White,Private,Other
Less than HS,45,Male,30,White,Private,Other
Masters,40,Male,32,White,Private,Health
HS-grad,48,Male,52,White,Private,Other
HS-grad,50,Male,52,White,Private,Other
HS-grad,47,Female,39,White,Private,Other
Bachelors,40,Male,57,White,Local-gov,Health
HS-grad,40,Male,21,White,Private,Other
Some-college,10,Male,22,White,State-gov,Other
Some-college,40,Male,26,White,Private,Other
Some-college,40,Male,26,White,State-gov,Other
Assoc-voc,40,Male,44,Black,Private,Industrial Arts & Consumer Services
Some-college,30,Female,42,White,Private,Business
Some-college,43,Male,40,White,Private,Other
Less than HS,45,Male,22,White,Private,Other
HS-grad,45,Male,62,White,Private,Other
Some-college,40,Male,44,White,Private,Engineering
Less than HS,40,Male,33,White,Self-emp-not-inc,Other
HS-grad,50,Male,45,White,Private,Other
Less than HS,40,Male,18,White,Private,Other
Some-college,40,Male,32,White,Local-gov,Engineering
Doctorate,60,Female,33,White,Private,Other
Some-college,15,Male,20,White,Private,Health
HS-grad,20,Male,68,White,Self-emp-not-inc,Other
Less than HS,50,Male,61,White,Private,Other
Doctorate,40,Male,48,White,Private,Other
